date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:29	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://lineradio.app/robots.txt		(from )
17:24:29	22977/22977	---M-Z	200	added ('OK')	text/html	etag:W/%225f243b33-59c1%22	https://lineradio.app/	C:/My%20Web%20Sites/Music/lineradio.app/index.html	(from )
17:24:29	10761/10761	---M-Z	200	added ('OK')	text/css	etag:W/%225f243b33-2a09%22	https://lineradio.app/styles.db404500be887cabb22e.css	C:/My%20Web%20Sites/Music/lineradio.app/styles.db404500be887cabb22e.css	(from https://lineradio.app/)
17:24:37	5558/5558	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225f243b33-15b6%22	https://lineradio.app/favicon.ico	C:/My%20Web%20Sites/Music/lineradio.app/favicon.ico	(from https://lineradio.app/)
17:24:37	441/441	---M--	200	added ('OK')	image/png	etag:%225f243b33-1b9%22	https://lineradio.app/favicon-32x32.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/favicon-32x326341.png	(from https://lineradio.app/)
17:24:37	1026/1026	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%225f243b33-402%22	https://lineradio.app/manifest.webmanifest	C:/My%20Web%20Sites/Music/lineradio.app/manifest.webmanifest	(from https://lineradio.app/)
17:24:37	691/691	---M--	200	added ('OK')	image/png	etag:%225f243b33-2b3%22	https://lineradio.app/icons/icon-48x48.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/icons/icon-48x486341.png	(from https://lineradio.app/)
17:24:38	985/985	---M--	200	added ('OK')	image/png	etag:%225f243b33-3d9%22	https://lineradio.app/icons/icon-72x72.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/icons/icon-72x726341.png	(from https://lineradio.app/)
17:24:38	1302/1302	---M--	200	added ('OK')	image/png	etag:%225f243b33-516%22	https://lineradio.app/icons/icon-96x96.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/icons/icon-96x966341.png	(from https://lineradio.app/)
17:24:38	2000/2000	---M--	200	added ('OK')	image/png	etag:%225f243b33-7d0%22	https://lineradio.app/icons/icon-144x144.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/icons/icon-144x1446341.png	(from https://lineradio.app/)
17:24:38	2808/2808	---M--	200	added ('OK')	image/png	etag:%225f243b33-af8%22	https://lineradio.app/icons/icon-192x192.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/icons/icon-192x1926341.png	(from https://lineradio.app/)
17:24:39	3980/3980	---M--	200	added ('OK')	image/png	etag:%225f243b33-f8c%22	https://lineradio.app/icons/icon-256x256.png?v=044c9db6ae82e045d49dbf8dfa5f9fb9	C:/My%20Web%20Sites/Music/lineradio.app/icons/icon-256x2566341.png	(from https://lineradio.app/)
